"element","symbol"
"bromine","Br"
"calcium","Ca"
"carbon","C"
"chlorine","Cl"
"fluorine","F"
"hydrogen","H"
"iodine","I"
"lithium","Li"
"nitrogen","N"
"oxygen","O"
"phosphorus","P"
"potassium","K"
"selenium","Se"
"sodium","Na"
"sulphur","S"
